X   Y   Z   quatX   quatY   quatZ   W
0.0024986 0.407624 0.845403 0.0729847 0.534224 -0.506606 0.672777 
0.00229759 0.407968 0.844258 0.0729865 0.534223 -0.506607 0.672777 
0.0020966 0.408312 0.843112 0.0729883 0.534222 -0.506608 0.672776 
0.00189561 0.408656 0.841967 0.07299 0.534221 -0.506609 0.672776 
0.00169464 0.409001 0.840821 0.0729918 0.534221 -0.50661 0.672775 
0.00149367 0.409345 0.839676 0.0729936 0.53422 -0.506611 0.672775 
0.00129272 0.409689 0.83853 0.0729954 0.534219 -0.506613 0.672774 
0.00109177 0.410033 0.837385 0.0729972 0.534219 -0.506614 0.672774 
0.000890838 0.410377 0.83624 0.072999 0.534218 -0.506615 0.672773 
0.000689914 0.410722 0.835094 0.0730008 0.534217 -0.506616 0.672773 
0.000489 0.411066 0.833949 0.0730026 0.534217 -0.506617 0.672772 
0.000288097 0.41141 0.832803 0.0730045 0.534216 -0.506618 0.672772 
8.72033e-05 0.411754 0.831658 0.0730063 0.534215 -0.506619 0.672771 
-0.00011368 0.412099 0.830513 0.0730081 0.534215 -0.506621 0.67277 
-0.000314553 0.412443 0.829367 0.07301 0.534214 -0.506622 0.67277 
-0.000515415 0.412787 0.828222 0.0730118 0.534213 -0.506623 0.672769 
-0.000716268 0.413131 0.827076 0.0730137 0.534213 -0.506624 0.672769 
-0.00091711 0.413476 0.825931 0.0730156 0.534212 -0.506625 0.672768 
-0.00111794 0.41382 0.824786 0.0730174 0.534212 -0.506626 0.672768 
-0.00131876 0.414164 0.82364 0.0730193 0.534211 -0.506627 0.672767 
-0.00151957 0.414509 0.822495 0.0730212 0.534211 -0.506628 0.672766 
-0.00172038 0.414853 0.82135 0.0730231 0.53421 -0.50663 0.672766 
-0.00192117 0.415197 0.820204 0.073025 0.53421 -0.506631 0.672765 
-0.00212195 0.415542 0.819059 0.0730269 0.534209 -0.506632 0.672764 
-0.00232272 0.415886 0.817914 0.0730288 0.534209 -0.506633 0.672764 
-0.00252348 0.41623 0.816768 0.0730307 0.534208 -0.506634 0.672763 
-0.00272423 0.416575 0.815623 0.0730326 0.534208 -0.506635 0.672762 
-0.00292497 0.416919 0.814478 0.0730346 0.534207 -0.506636 0.672762 
-0.0031257 0.417263 0.813333 0.0730365 0.534207 -0.506637 0.672761 
-0.00332642 0.417608 0.812187 0.0730385 0.534206 -0.506639 0.67276 
