lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.34581 -0.349792 2.04198 -0.955422 1.22586 -1.88848 0.375851 
2.34816 -0.350082 2.04052 -0.95897 1.22674 -1.8904 0.378438 
2.35049 -0.350387 2.03907 -0.962498 1.22765 -1.89231 0.381023 
2.35279 -0.350705 2.03763 -0.966006 1.22858 -1.8942 0.383607 
2.35507 -0.351037 2.0362 -0.969493 1.22953 -1.89608 0.38619 
2.35733 -0.351383 2.03477 -0.972961 1.23051 -1.89795 0.388771 
2.35956 -0.351743 2.03336 -0.976409 1.2315 -1.89981 0.391351 
2.36176 -0.352117 2.03196 -0.979838 1.23252 -1.90166 0.393929 
2.36394 -0.352504 2.03056 -0.983248 1.23356 -1.90349 0.396507 
2.3661 -0.352905 2.02917 -0.986638 1.23462 -1.90531 0.399083 
2.36823 -0.353319 2.0278 -0.990009 1.23571 -1.90712 0.401659 
2.37034 -0.353748 2.02643 -0.993362 1.23681 -1.90892 0.404233 
2.37243 -0.354189 2.02507 -0.996696 1.23794 -1.91071 0.406807 
2.37449 -0.354644 2.02372 -1.00001 1.23909 -1.91248 0.409381 
2.37653 -0.355113 2.02238 -1.00331 1.24025 -1.91424 0.411953 
2.37855 -0.355595 2.02105 -1.00659 1.24144 -1.91599 0.414525 
2.38054 -0.356091 2.01973 -1.00985 1.24265 -1.91773 0.417097 
2.38251 -0.3566 2.01841 -1.01309 1.24389 -1.91945 0.419668 
2.38446 -0.357122 2.0171 -1.01632 1.24514 -1.92117 0.422239 
2.38639 -0.357658 2.01581 -1.01953 1.24641 -1.92287 0.42481 
2.38829 -0.358206 2.01452 -1.02272 1.2477 -1.92456 0.427381 
2.39017 -0.358769 2.01324 -1.02589 1.24902 -1.92623 0.429951 
2.39203 -0.359344 2.01197 -1.02904 1.25035 -1.92789 0.432521 
2.39387 -0.359932 2.0107 -1.03218 1.25171 -1.92955 0.435091 
2.39569 -0.360534 2.00945 -1.03531 1.25308 -1.93118 0.437662 
2.39748 -0.361149 2.0082 -1.03841 1.25448 -1.93281 0.440232 
2.39926 -0.361776 2.00696 -1.0415 1.25589 -1.93443 0.442802 
2.40101 -0.362417 2.00573 -1.04457 1.25733 -1.93603 0.445372 
2.40274 -0.363071 2.00451 -1.04763 1.25878 -1.93762 0.447943 
2.40445 -0.363738 2.00329 -1.05067 1.26026 -1.93919 0.450514 
2.40615 -0.364418 2.00209 -1.05369 1.26175 -1.94076 0.453085 
2.40782 -0.365111 2.00089 -1.0567 1.26327 -1.94231 0.455656 
2.40947 -0.365816 1.9997 -1.05969 1.2648 -1.94385 0.458227 
2.4111 -0.366535 1.99852 -1.06266 1.26635 -1.94538 0.460799 
2.41271 -0.367266 1.99734 -1.06562 1.26793 -1.94689 0.463371 
2.4143 -0.36801 1.99617 -1.06857 1.26952 -1.94839 0.465944 
2.41587 -0.368767 1.99502 -1.07149 1.27113 -1.94988 0.468517 
2.41742 -0.369537 1.99386 -1.07441 1.27276 -1.95136 0.47109 
2.41895 -0.370319 1.99272 -1.0773 1.2744 -1.95282 0.473664 
2.42046 -0.371115 1.99158 -1.08019 1.27607 -1.95427 0.476238 
2.42196 -0.371922 1.99045 -1.08305 1.27775 -1.95571 0.478812 
2.42343 -0.372743 1.98933 -1.0859 1.27946 -1.95714 0.481387 
2.42489 -0.373576 1.98822 -1.08874 1.28118 -1.95855 0.483963 
2.42632 -0.374421 1.98711 -1.09156 1.28292 -1.95996 0.486538 
2.42774 -0.375279 1.98602 -1.09437 1.28468 -1.96134 0.489115 
2.42914 -0.37615 1.98492 -1.09716 1.28645 -1.96272 0.491692 
2.43052 -0.377033 1.98384 -1.09994 1.28825 -1.96408 0.494269 
2.43189 -0.377928 1.98276 -1.1027 1.29006 -1.96543 0.496846 
2.43323 -0.378836 1.98169 -1.10545 1.29189 -1.96677 0.499425 
2.43456 -0.379757 1.98063 -1.10819 1.29373 -1.9681 0.502003 
2.43587 -0.380689 1.97958 -1.11091 1.2956 -1.96941 0.504582 
2.43716 -0.381634 1.97853 -1.11361 1.29748 -1.97071 0.507162 
2.43843 -0.382591 1.97749 -1.11631 1.29938 -1.972 0.509742 
2.43969 -0.383561 1.97645 -1.11898 1.3013 -1.97327 0.512322 
2.44093 -0.384543 1.97543 -1.12165 1.30323 -1.97453 0.514903 
2.44215 -0.385537 1.97441 -1.1243 1.30518 -1.97578 0.517484 
2.44336 -0.386543 1.97339 -1.12693 1.30715 -1.97702 0.520065 
2.44455 -0.387561 1.97239 -1.12956 1.30913 -1.97824 0.522647 
2.44572 -0.388592 1.97139 -1.13216 1.31113 -1.97946 0.525229 
2.44688 -0.389634 1.97039 -1.13476 1.31315 -1.98065 0.527812 
2.44802 -0.390689 1.96941 -1.13734 1.31518 -1.98184 0.530394 
2.44914 -0.391755 1.96843 -1.13991 1.31723 -1.98301 0.532977 
2.45025 -0.392834 1.96746 -1.14246 1.3193 -1.98417 0.535561 
2.45134 -0.393924 1.96649 -1.145 1.32138 -1.98532 0.538144 
2.45241 -0.395027 1.96553 -1.14753 1.32348 -1.98646 0.540727 
2.45347 -0.396141 1.96458 -1.15005 1.32559 -1.98758 0.543311 
2.45452 -0.397267 1.96363 -1.15255 1.32772 -1.98869 0.545895 
2.45555 -0.398405 1.96269 -1.15504 1.32987 -1.98979 0.548479 
2.45656 -0.399555 1.96176 -1.15751 1.33203 -1.99087 0.551063 
2.45756 -0.400717 1.96083 -1.15997 1.3342 -1.99194 0.553646 
