X   Y   Z   quatX   quatY   quatZ   W
0.4     0.13498     0.84759        1000        1000        1000        1000
0.4     0.13349     0.84893        1000        1000        1000        1000
0.4       0.132     0.85026        1000        1000        1000        1000
0.4     0.13049     0.85157        1000        1000        1000        1000
0.4     0.12897     0.85287        1000        1000        1000        1000
0.4     0.12743     0.85415        1000        1000        1000        1000
0.4     0.12588     0.85541        1000        1000        1000        1000
0.4     0.12432     0.85667        1000        1000        1000        1000
0.4     0.12275      0.8579        1000        1000        1000        1000
0.4     0.12116     0.85912        1000        1000        1000        1000
0.4     0.11957     0.86032        1000        1000        1000        1000
0.4     0.11796     0.86151        1000        1000        1000        1000
0.4     0.11634     0.86268        1000        1000        1000        1000
0.4      0.1147     0.86384        1000        1000        1000        1000
0.4     0.11306     0.86498        1000        1000        1000        1000
0.4      0.1114      0.8661        1000        1000        1000        1000
0.4     0.10974     0.86721        1000        1000        1000        1000
0.4     0.10806     0.86829        1000        1000        1000        1000
0.4     0.10637     0.86937        1000        1000        1000        1000
0.4     0.10467     0.87042        1000        1000        1000        1000
0.4     0.10296     0.87146        1000        1000        1000        1000
0.4     0.10124     0.87248        1000        1000        1000        1000
0.4    0.099514     0.87348        1000        1000        1000        1000
0.4    0.097774     0.87447        1000        1000        1000        1000
0.4    0.096025     0.87544        1000        1000        1000        1000
0.4    0.094266     0.87639        1000        1000        1000        1000
0.4    0.092497     0.87733        1000        1000        1000        1000
0.4    0.090719     0.87824        1000        1000        1000        1000
0.4    0.088932     0.87914        1000        1000        1000        1000
0.4    0.087136     0.88002        1000        1000        1000        1000
0.4    0.085332     0.88088        1000        1000        1000        1000
0.4    0.083519     0.88173        1000        1000        1000        1000
0.4    0.081697     0.88255        1000        1000        1000        1000
0.4    0.079868     0.88336        1000        1000        1000        1000
0.4     0.07803     0.88415        1000        1000        1000        1000
0.4    0.076185     0.88492        1000        1000        1000        1000
0.4    0.074332     0.88567        1000        1000        1000        1000
0.4    0.072472     0.88641        1000        1000        1000        1000
0.4    0.070604     0.88712        1000        1000        1000        1000
0.4    0.068729     0.88782        1000        1000        1000        1000
0.4    0.066848      0.8885        1000        1000        1000        1000
0.4    0.064959     0.88916        1000        1000        1000        1000
0.4    0.063064      0.8898        1000        1000        1000        1000
0.4    0.061163     0.89042        1000        1000        1000        1000
0.4    0.059256     0.89102        1000        1000        1000        1000
0.4    0.057343      0.8916        1000        1000        1000        1000
0.4    0.055424     0.89217        1000        1000        1000        1000
0.4      0.0535     0.89271        1000        1000        1000        1000
0.4     0.05157     0.89324        1000        1000        1000        1000
0.4    0.049635     0.89374        1000        1000        1000        1000
0.4    0.047695     0.89423        1000        1000        1000        1000
0.4    0.045751      0.8947        1000        1000        1000        1000
0.4    0.043801     0.89514        1000        1000        1000        1000
0.4    0.041848     0.89557        1000        1000        1000        1000
0.4     0.03989     0.89598        1000        1000        1000        1000
0.4    0.037928     0.89637        1000        1000        1000        1000
0.4    0.035963     0.89674        1000        1000        1000        1000
0.4    0.033993     0.89709        1000        1000        1000        1000
0.4    0.032021     0.89742        1000        1000        1000        1000
0.4    0.030045     0.89773        1000        1000        1000        1000
0.4    0.028066     0.89802        1000        1000        1000        1000
0.4    0.026085     0.89829        1000        1000        1000        1000
0.4    0.024101     0.89854        1000        1000        1000        1000
0.4    0.022114     0.89877        1000        1000        1000        1000
0.4    0.020125     0.89898        1000        1000        1000        1000
0.4    0.018134     0.89918        1000        1000        1000        1000
0.4    0.016142     0.89935        1000        1000        1000        1000
0.4    0.014147      0.8995        1000        1000        1000        1000
0.4    0.012152     0.89963        1000        1000        1000        1000
0.4    0.010155     0.89974        1000        1000        1000        1000
0.4    0.008157     0.89983        1000        1000        1000        1000
0.4   0.0061583     0.89991        1000        1000        1000        1000
0.4    0.004159     0.89996        1000        1000        1000        1000
0.4   0.0021592     0.89999        1000        1000        1000        1000
0.4  0.00015927         0.9        1000        1000        1000        1000
0.4  -0.0018407     0.89999        1000        1000        1000        1000
0.4  -0.0038405     0.89996        1000        1000        1000        1000
0.4  -0.0058399     0.89991        1000        1000        1000        1000
0.4  -0.0078387     0.89985        1000        1000        1000        1000
0.4  -0.0098368     0.89976        1000        1000        1000        1000
0.4   -0.011834     0.89965        1000        1000        1000        1000
0.4    -0.01383     0.89952        1000        1000        1000        1000
0.4   -0.015824     0.89937        1000        1000        1000        1000
0.4   -0.017817      0.8992        1000        1000        1000        1000
0.4   -0.019808     0.89902        1000        1000        1000        1000
0.4   -0.021797     0.89881        1000        1000        1000        1000
0.4   -0.023784     0.89858        1000        1000        1000        1000
0.4   -0.025769     0.89833        1000        1000        1000        1000
0.4   -0.027751     0.89807        1000        1000        1000        1000
0.4    -0.02973     0.89778        1000        1000        1000        1000
0.4   -0.031706     0.89747        1000        1000        1000        1000
0.4   -0.033679     0.89714        1000        1000        1000        1000
0.4   -0.035649      0.8968        1000        1000        1000        1000
0.4   -0.037615     0.89643        1000        1000        1000        1000
0.4   -0.039578     0.89604        1000        1000        1000        1000
0.4   -0.041536     0.89564        1000        1000        1000        1000
0.4    -0.04349     0.89521        1000        1000        1000        1000
0.4    -0.04544     0.89477        1000        1000        1000        1000
0.4   -0.047386     0.89431        1000        1000        1000        1000
0.4   -0.049326     0.89382        1000        1000        1000        1000
0.4   -0.051262     0.89332        1000        1000        1000        1000
0.4   -0.053193      0.8928        1000        1000        1000        1000
